data,mm,uf
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-20,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-21,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-22,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-23,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-24,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-25,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-26,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-27,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-28,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-29,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
2015-10-30,0.0,CE
