id|data_iniSE|casos|ibge_code|cidade|uf|cep|latitude|longitude
1314|2015-01-25|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1315|2015-02-01|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1316|2015-02-08|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1317|2015-02-15|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1318|2015-02-22|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1319|2015-03-01|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1320|2015-03-08|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1321|2015-03-15|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1322|2015-03-22|16.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1323|2015-03-29|11.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1324|2015-04-05|46.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1325|2015-04-12|5.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1326|2015-04-19|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1327|2015-04-26|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1328|2015-05-03|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1329|2015-05-10|6.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1330|2015-05-17|20.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1331|2015-05-24|24.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1332|2015-05-31|37.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1333|2015-06-07|42.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1334|2015-06-14|34.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1335|2015-06-21|20.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1336|2015-06-28|26.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1337|2015-07-05|27.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1338|2015-07-12|16.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1339|2015-07-19|10.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1340|2015-07-26|11.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1341|2015-08-02|9.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1342|2015-08-09|2.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1343|2015-08-16|4.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1344|2015-08-23|2.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1345|2015-08-30|3.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1346|2015-09-06|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1347|2015-09-13|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1348|2015-09-20|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1349|2015-09-27|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1350|2015-10-04|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1351|2015-10-11|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1352|2015-10-18|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1353|2015-10-25|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1354|2015-11-01|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1355|2015-11-08|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1356|2015-11-15|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1357|2015-11-22|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1358|2015-11-29|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1359|2015-12-06|1.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1360|2015-12-13|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1361|2015-12-20|2.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1362|2015-12-27|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1573|2015-01-04|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1574|2015-01-11|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1575|2015-01-18|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1576|2015-01-25|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1577|2015-02-01|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1578|2015-02-08|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1579|2015-02-15|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1580|2015-02-22|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
1581|2015-03-01|0.0|230060|Altaneira|CE|63195-000|-6.9874|-39.7274
